"filename", "language", "C++", "CMake", "JSON", "HTML", "YAML", "Swift", "Markdown", "Dart", "XML", "Java Properties", "Gradle", "Kotlin", "comment", "blank", "total"
"e:\Dev\go_great\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"e:\Dev\go_great\analysis_options.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"e:\Dev\go_great\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 10, 15, 82
"e:\Dev\go_great\android\app\google-services.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"e:\Dev\go_great\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"e:\Dev\go_great\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 6, 1, 34
"e:\Dev\go_great\android\app\src\main\kotlin\com\example\go_great\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"e:\Dev\go_great\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"e:\Dev\go_great\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"e:\Dev\go_great\android\app\src\main\res\values-night-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 7, 1, 20
"e:\Dev\go_great\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 9, 1, 23
"e:\Dev\go_great\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 7, 1, 20
"e:\Dev\go_great\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 9, 1, 23
"e:\Dev\go_great\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"e:\Dev\go_great\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"e:\Dev\go_great\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"e:\Dev\go_great\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"e:\Dev\go_great\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 6, 30
"e:\Dev\go_great\assets\bookmark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"e:\Dev\go_great\assets\briefcase.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"e:\Dev\go_great\assets\chevrondown.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 1, 10
"e:\Dev\go_great\assets\location.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"e:\Dev\go_great\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Dev\go_great\assets\nextbutton.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"e:\Dev\go_great\assets\onboard1bagus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Dev\go_great\assets\people.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"e:\Dev\go_great\flutter_native_splash.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"e:\Dev\go_great\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"e:\Dev\go_great\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\Dev\go_great\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"e:\Dev\go_great\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"e:\Dev\go_great\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"e:\Dev\go_great\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"e:\Dev\go_great\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 1, 45
"e:\Dev\go_great\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"e:\Dev\go_great\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Dev\go_great\ios\firebase_app_id_file.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"e:\Dev\go_great\lib\constant.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"e:\Dev\go_great\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 12, 6, 82
"e:\Dev\go_great\lib\login.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 1, 8, 135
"e:\Dev\go_great\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 361, 0, 0, 0, 0, 5, 27, 393
"e:\Dev\go_great\lib\onboarding_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 14, 168
"e:\Dev\go_great\lib\sign_up.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 215, 0, 0, 0, 0, 1, 10, 226
"e:\Dev\go_great\lib\submit_temp.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 4, 14, 134
"e:\Dev\go_great\lib\user_preferences0.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 2, 14, 198
"e:\Dev\go_great\lib\user_preferences1.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 206, 0, 0, 0, 0, 2, 21, 229
"e:\Dev\go_great\lib\user_preferences2.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 2, 17, 209
"e:\Dev\go_great\lib\user_preferences3.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 2, 9, 133
"e:\Dev\go_great\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"e:\Dev\go_great\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\Dev\go_great\linux\flutter\generated_plugins.cmake", "CMake", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"e:\Dev\go_great\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Dev\go_great\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"e:\Dev\go_great\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"e:\Dev\go_great\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 4, 23
"e:\Dev\go_great\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"e:\Dev\go_great\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
