Date : 2024-12-16 20:39:19
Directory : e:\Dev\go_great
Total : 111 files,  9421 codes, 391 comments, 870 blanks, all 10682 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |         31 |      7,079 |        123 |        471 |      7,673 |
| XML             |         30 |        636 |         49 |         28 |        713 |
| C++             |         16 |        550 |        121 |        182 |        853 |
| CMake           |          7 |        460 |          0 |         89 |        549 |
| JSON            |          8 |        312 |          0 |          5 |        317 |
| Gradle          |          3 |        108 |         10 |         26 |        144 |
| HTML            |          1 |         98 |         16 |         15 |        129 |
| YAML            |          4 |         84 |         65 |         23 |        172 |
| Swift           |          6 |         72 |          7 |         20 |         99 |
| Markdown        |          2 |         10 |          0 |          6 |         16 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
| Kotlin          |          1 |          4 |          0 |          3 |          7 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                  |        111 |      9,421 |        391 |        870 |     10,682 |
| . (Files)                                                                          |          5 |         91 |         65 |         27 |        183 |
| android                                                                            |         16 |        251 |         56 |         40 |        347 |
| android (Files)                                                                    |          3 |         54 |          0 |         12 |         66 |
| android\app                                                                        |         12 |        192 |         56 |         27 |        275 |
| android\app (Files)                                                                |          2 |         86 |         10 |         15 |        111 |
| android\app\src                                                                    |         10 |        106 |         46 |         12 |        164 |
| android\app\src\debug                                                              |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                               |          8 |        100 |         38 |         10 |        148 |
| android\app\src\main (Files)                                                       |          1 |         28 |          6 |          1 |         35 |
| android\app\src\main\kotlin                                                        |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com                                                    |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example                                            |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example\go_great                                   |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\res                                                           |          6 |         68 |         32 |          6 |        106 |
| android\app\src\main\res\drawable                                                  |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\drawable-v21                                              |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\values                                                    |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night                                              |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night-v31                                          |          1 |         12 |          7 |          1 |         20 |
| android\app\src\main\res\values-v31                                                |          1 |         12 |          7 |          1 |         20 |
| android\app\src\profile                                                            |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                     |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                             |          1 |          5 |          0 |          1 |          6 |
| assets                                                                             |         18 |        123 |          1 |         16 |        140 |
| ios                                                                                |         10 |        264 |          4 |         14 |        282 |
| ios (Files)                                                                        |          1 |          7 |          0 |          0 |          7 |
| ios\Runner                                                                         |          8 |        250 |          2 |         10 |        262 |
| ios\Runner (Files)                                                                 |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                    |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                         |          4 |        169 |          0 |          5 |        174 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                      |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchBackground.imageset                               |          1 |         21 |          0 |          1 |         22 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                    |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                              |          2 |         68 |          2 |          2 |         72 |
| lib                                                                                |         31 |      7,079 |        123 |        471 |      7,673 |
| linux                                                                              |          8 |        314 |         27 |         82 |        423 |
| linux (Files)                                                                      |          4 |        204 |         18 |         55 |        277 |
| linux\flutter                                                                      |          4 |        110 |          9 |         27 |        146 |
| macos                                                                              |          7 |        471 |          5 |         16 |        492 |
| macos (Files)                                                                      |          1 |          7 |          0 |          0 |          7 |
| macos\Flutter                                                                      |          1 |         26 |          3 |          4 |         33 |
| macos\Runner                                                                       |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                               |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                  |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                       |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                    |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                            |          1 |        343 |          0 |          1 |        344 |
| web                                                                                |          2 |        133 |         16 |         16 |        165 |
| windows                                                                            |         14 |        695 |         94 |        188 |        977 |
| windows (Files)                                                                    |          1 |         89 |          0 |         20 |        109 |
| windows\flutter                                                                    |          4 |        144 |          9 |         29 |        182 |
| windows\runner                                                                     |          9 |        462 |         85 |        139 |        686 |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                           | language        | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| e:\Dev\go_great\README.md                                                          | Markdown        |          7 |          0 |          4 |         11 |
| e:\Dev\go_great\analysis_options.yaml                                              | YAML            |          3 |         22 |          4 |         29 |
| e:\Dev\go_great\android\app\build.gradle                                           | Gradle          |         57 |         10 |         15 |         82 |
| e:\Dev\go_great\android\app\google-services.json                                   | JSON            |         29 |          0 |          0 |         29 |
| e:\Dev\go_great\android\app\src\debug\AndroidManifest.xml                          | XML             |          3 |          4 |          1 |          8 |
| e:\Dev\go_great\android\app\src\main\AndroidManifest.xml                           | XML             |         28 |          6 |          1 |         35 |
| e:\Dev\go_great\android\app\src\main\kotlin\com\example\go_great\MainActivity.kt   | Kotlin          |          4 |          0 |          3 |          7 |
| e:\Dev\go_great\android\app\src\main\res\drawable-v21\launch_background.xml        | XML             |          9 |          0 |          1 |         10 |
| e:\Dev\go_great\android\app\src\main\res\drawable\launch_background.xml            | XML             |          9 |          0 |          1 |         10 |
| e:\Dev\go_great\android\app\src\main\res\values-night-v31\styles.xml               | XML             |         12 |          7 |          1 |         20 |
| e:\Dev\go_great\android\app\src\main\res\values-night\styles.xml                   | XML             |         13 |          9 |          1 |         23 |
| e:\Dev\go_great\android\app\src\main\res\values-v31\styles.xml                     | XML             |         12 |          7 |          1 |         20 |
| e:\Dev\go_great\android\app\src\main\res\values\styles.xml                         | XML             |         13 |          9 |          1 |         23 |
| e:\Dev\go_great\android\app\src\profile\AndroidManifest.xml                        | XML             |          3 |          4 |          1 |          8 |
| e:\Dev\go_great\android\build.gradle                                               | Gradle          |         27 |          0 |          5 |         32 |
| e:\Dev\go_great\android\gradle.properties                                          | Java Properties |          3 |          0 |          1 |          4 |
| e:\Dev\go_great\android\gradle\wrapper\gradle-wrapper.properties                   | Java Properties |          5 |          0 |          1 |          6 |
| e:\Dev\go_great\android\settings.gradle                                            | Gradle          |         24 |          0 |          6 |         30 |
| e:\Dev\go_great\assets\albums.svg                                                  | XML             |          9 |          0 |          1 |         10 |
| e:\Dev\go_great\assets\backbutton_blue.svg                                         | XML             |          6 |          0 |          1 |          7 |
| e:\Dev\go_great\assets\backbutton_yellow.svg                                       | XML             |          6 |          0 |          1 |          7 |
| e:\Dev\go_great\assets\bookmark.svg                                                | XML             |          5 |          0 |          1 |          6 |
| e:\Dev\go_great\assets\bookmark_filled.svg                                         | XML             |          5 |          0 |          1 |          6 |
| e:\Dev\go_great\assets\briefcase.svg                                               | XML             |          6 |          0 |          1 |          7 |
| e:\Dev\go_great\assets\business.svg                                                | XML             |         27 |          0 |          1 |         28 |
| e:\Dev\go_great\assets\chatbubble.svg                                              | XML             |          5 |          0 |          1 |          6 |
| e:\Dev\go_great\assets\chevrondown.svg                                             | XML             |          8 |          1 |          1 |         10 |
| e:\Dev\go_great\assets\home.svg                                                    | XML             |          7 |          0 |          1 |          8 |
| e:\Dev\go_great\assets\location.svg                                                | XML             |          6 |          0 |          1 |          7 |
| e:\Dev\go_great\assets\logo.svg                                                    | XML             |          1 |          0 |          0 |          1 |
| e:\Dev\go_great\assets\nextbutton.svg                                              | XML             |          6 |          0 |          1 |          7 |
| e:\Dev\go_great\assets\onboard1bagus.svg                                           | XML             |          1 |          0 |          0 |          1 |
| e:\Dev\go_great\assets\people.svg                                                  | XML             |          8 |          0 |          1 |          9 |
| e:\Dev\go_great\assets\people_company.svg                                          | XML             |          8 |          0 |          1 |          9 |
| e:\Dev\go_great\assets\plus.svg                                                    | XML             |          3 |          0 |          1 |          4 |
| e:\Dev\go_great\assets\warning.svg                                                 | XML             |          6 |          0 |          1 |          7 |
| e:\Dev\go_great\devtools_options.yaml                                              | YAML            |          1 |          0 |          1 |          2 |
| e:\Dev\go_great\flutter_native_splash.yaml                                         | YAML            |          3 |          0 |          0 |          3 |
| e:\Dev\go_great\ios\RunnerTests\RunnerTests.swift                                  | Swift           |          7 |          2 |          4 |         13 |
| e:\Dev\go_great\ios\Runner\AppDelegate.swift                                       | Swift           |         12 |          0 |          2 |         14 |
| e:\Dev\go_great\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json        | JSON            |        122 |          0 |          1 |        123 |
| e:\Dev\go_great\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json | JSON            |         21 |          0 |          1 |         22 |
| e:\Dev\go_great\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json      | JSON            |         23 |          0 |          1 |         24 |
| e:\Dev\go_great\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md          | Markdown        |          3 |          0 |          2 |          5 |
| e:\Dev\go_great\ios\Runner\Base.lproj\LaunchScreen.storyboard                      | XML             |         43 |          1 |          1 |         45 |
| e:\Dev\go_great\ios\Runner\Base.lproj\Main.storyboard                              | XML             |         25 |          1 |          1 |         27 |
| e:\Dev\go_great\ios\Runner\Runner-Bridging-Header.h                                | C++             |          1 |          0 |          1 |          2 |
| e:\Dev\go_great\ios\firebase_app_id_file.json                                      | JSON            |          7 |          0 |          0 |          7 |
| e:\Dev\go_great\lib\add_project.dart                                               | Dart            |        311 |          1 |         15 |        327 |
| e:\Dev\go_great\lib\bio_edit.dart                                                  | Dart            |        111 |          0 |         16 |        127 |
| e:\Dev\go_great\lib\chat.dart                                                      | Dart            |         28 |          0 |          4 |         32 |
| e:\Dev\go_great\lib\constant.dart                                                  | Dart            |         50 |          0 |          8 |         58 |
| e:\Dev\go_great\lib\course_details.dart                                            | Dart            |        173 |          0 |         16 |        189 |
| e:\Dev\go_great\lib\education_edit.dart                                            | Dart            |        372 |          3 |         22 |        397 |
| e:\Dev\go_great\lib\experience_edit.dart                                           | Dart            |        296 |          1 |         17 |        314 |
| e:\Dev\go_great\lib\final_add_project.dart                                         | Dart            |        109 |          0 |          3 |        112 |
| e:\Dev\go_great\lib\final_apply.dart                                               | Dart            |        189 |          0 |          4 |        193 |
| e:\Dev\go_great\lib\firebase_options.dart                                          | Dart            |         64 |         12 |          6 |         82 |
| e:\Dev\go_great\lib\language_edit.dart                                             | Dart            |        234 |          5 |         19 |        258 |
| e:\Dev\go_great\lib\lesson_list.dart                                               | Dart            |        165 |          0 |          8 |        173 |
| e:\Dev\go_great\lib\login.dart                                                     | Dart            |        155 |          1 |          8 |        164 |
| e:\Dev\go_great\lib\main.dart                                                      | Dart            |        792 |         24 |         53 |        869 |
| e:\Dev\go_great\lib\my_flutter_app_icons.dart                                      | Dart            |          9 |         15 |          4 |         28 |
| e:\Dev\go_great\lib\my_projects.dart                                               | Dart            |        160 |          1 |         17 |        178 |
| e:\Dev\go_great\lib\onboarding_screen.dart                                         | Dart            |        154 |          0 |         14 |        168 |
| e:\Dev\go_great\lib\profile_currentUser.dart                                       | Dart            |        879 |         18 |         54 |        951 |
